Zipcode,City,State,Lat,Long
7093,MONITOR,NJ,40.78,-74
7093,TAURUS,NJ,40.78,-74
7675,WESTWOOD,NJ,40.98,-74.03
7675,OLD TAPPAN,NJ,40.98,-74.03
7675,RIVER VALE,NJ,40.98,-74.03
7675,RIVERVALE,NJ,40.98,-74.03
7677,WOODCLIFF LAKE,NJ,41.02,-74.05
7677,WESTWOOD,NJ,41.02,-74.05
7677,WOODCLIFF LK,NJ,41.02,-74.05
7885,WHARTON,NJ,40.89,-74.58
7981,WHIPPANY,NJ,40.82,-74.41
7999,WHIPPANY,NJ,40.82,-74.41
8888,WHITEHOUSE,NJ,40.62,-74.76
8889,WHITEHOUSE STATION,NJ,40.6,-74.76
8889,WHITE HSE STA,NJ,40.6,-74.76
8889,WHITE HOUSE STATION,NJ,40.6,-74.76
7095,WOODBRIDGE,NJ,40.55,-74.28
7481,WYCKOFF,NJ,40.99,-74.16
10451,BRONX,NY,40.84,-73.87
10452,BRONX,NY,40.84,-73.87
10452,HIGHBRIDGE,NY,40.84,-73.87
10452,STADIUM,NY,40.84,-73.87
10452,UNIVERSITY HEIGHTS,NY,40.84,-73.87
10453,BRONX,NY,40.84,-73.87
10454,BRONX,NY,40.84,-73.87
10454,MOTT HAVEN,NY,40.84,-73.87
10455,BRONX,NY,40.84,-73.87
10455,HUB,NY,40.84,-73.87
10456,BRONX,NY,40.84,-73.87
10456,MORRISANIA,NY,40.84,-73.87
10457,BRONX,NY,40.84,-73.87
10458,BRONX,NY,40.84,-73.87
10459,BRONX,NY,40.84,-73.87
10459,BOULEVARD,NY,40.84,-73.87
10459,LONGWOOD,NY,40.84,-73.87
10460,BRONX,NY,40.84,-73.87
10460,CROTONA PARK,NY,40.84,-73.87
10460,WEST FARMS,NY,40.84,-73.87
10461,BRONX,NY,40.84,-73.87
10461,MORRIS PARK,NY,40.84,-73.87
10461,PILGRIM,NY,40.84,-73.87
10461,WESTCHESTER,NY,40.84,-73.87
10462,BRONX,NY,40.84,-73.87
10463,BRONX,NY,40.84,-73.87
10463,RIVERDALE,NY,40.84,-73.87
10463,SPUYTEN DUYVIL,NY,40.84,-73.87
10464,BRONX,NY,40.84,-73.87
10465,BRONX,NY,40.84,-73.87
10465,THROGGS NECK,NY,40.84,-73.87
10466,BRONX,NY,40.84,-73.87
10466,WAKEFIELD,NY,40.84,-73.87
10467,BRONX,NY,40.84,-73.87
10467,ALLERTON,NY,40.84,-73.87
10467,MOSHOLU,NY,40.84,-73.87
10467,VAN COTT,NY,40.84,-73.87
10467,WILLIAMSBRIDGE,NY,40.84,-73.87
10468,BRONX,NY,40.84,-73.87
10468,JEROME,NY,40.84,-73.87
10469,BRONX,NY,40.84,-73.87
10469,BAYCHESTER,NY,40.84,-73.87
10469,ESPLANADE,NY,40.84,-73.87
10469,HILLSIDE,NY,40.84,-73.87
10470,BRONX,NY,40.84,-73.87
10471,BRONX,NY,40.84,-73.87
10471,RIVERDALE,NY,40.84,-73.87
10472,BRONX,NY,40.84,-73.87
10473,BRONX,NY,40.84,-73.87
10474,BRONX,NY,40.84,-73.87
10474,BOULEVARD,NY,40.84,-73.87
10475,BRONX,NY,40.84,-73.87
10499,BRONX,NY,40.84,-73.87
10499,PRIORITY MAIL CTR,NY,40.84,-73.87
10001,NEW YORK,NY,40.71,-73.99
10001,EMPIRE STATE,NY,40.71,-73.99
10001,G P O,NY,40.71,-73.99
10001,GREELEY SQUARE,NY,40.71,-73.99
10001,MACYS FINANCE,NY,40.71,-73.99
10001,MANHATTAN,NY,40.71,-73.99
10002,NEW YORK,NY,40.71,-73.99
10002,KNICKERBOCKER,NY,40.71,-73.99
10002,MANHATTAN,NY,40.71,-73.99
10002,NEW YORK CITY,NY,40.71,-73.99
10002,NY,NY,40.71,-73.99
10002,NY CITY,NY,40.71,-73.99
10002,NYC,NY,40.71,-73.99
10003,NEW YORK,NY,40.71,-73.99
10003,COOPER,NY,40.71,-73.99
10003,MANHATTAN,NY,40.71,-73.99
10004,NEW YORK,NY,40.71,-73.99
10004,BOWLING GREEN,NY,40.71,-73.99
10005,NEW YORK,NY,40.71,-73.99
10005,WALL STREET,NY,40.71,-73.99
10005,MANHATTAN,NY,40.71,-73.99
10005,NYC,NY,40.71,-73.99
10006,NEW YORK,NY,40.71,-73.99
10006,TRINITY,NY,40.71,-73.99
10006,MANHATTAN,NY,40.71,-73.99
10006,NYC,NY,40.71,-73.99
10007,NEW YORK,NY,40.71,-73.99
10007,CHURCH STREET,NY,40.71,-73.99
10007,MANHATTAN,NY,40.71,-73.99
10007,NYC,NY,40.71,-73.99
10008,NEW YORK,NY,40.71,-73.99
10008,MANHATTAN,NY,40.71,-73.99
10008,NYC,NY,40.71,-73.99
10009,NEW YORK,NY,40.71,-73.99
10009,MANHATTAN,NY,40.71,-73.99
10009,NYC,NY,40.71,-73.99
10009,PETER STUYVESANT,NY,40.71,-73.99
10010,NEW YORK,NY,40.71,-73.99
10010,MADISON SQUARE STA,NY,40.71,-73.99
10010,MANHATTAN,NY,40.71,-73.99
10010,NYC,NY,40.71,-73.99
10011,NEW YORK,NY,40.71,-73.99
10012,NEW YORK,NY,40.71,-73.99
10012,PRINCE,NY,40.71,-73.99
10012,MANHATTAN,NY,40.71,-73.99
10012,NY CITY,NY,40.71,-73.99
10012,NYC,NY,40.71,-73.99
10013,NEW YORK,NY,40.71,-73.99
10013,CANAL STREET,NY,40.71,-73.99
10013,CHINATOWN,NY,40.71,-73.99
10013,MANHATTAN,NY,40.71,-73.99
10013,NYC,NY,40.71,-73.99
10014,NEW YORK,NY,40.71,-73.99
10014,MANHATTAN,NY,40.71,-73.99
10014,NYC,NY,40.71,-73.99
10016,NEW YORK,NY,40.71,-73.99
10016,MANHATTAN,NY,40.71,-73.99
10016,NYC,NY,40.71,-73.99
10017,NEW YORK,NY,40.71,-73.99
10017,GRAND CENTRAL,NY,40.71,-73.99
10017,MANHATTAN,NY,40.71,-73.99
10017,NYC,NY,40.71,-73.99
10018,NEW YORK,NY,40.71,-73.99
10018,MANHATTAN,NY,40.71,-73.99
10018,NYC,NY,40.71,-73.99
10019,NEW YORK,NY,40.71,-73.99
10019,MANHATTAN,NY,40.71,-73.99
10019,NYC,NY,40.71,-73.99
10020,NEW YORK,NY,40.71,-73.99
10020,MANHATTAN,NY,40.71,-73.99
10020,NYC,NY,40.71,-73.99
10021,NEW YORK,NY,40.77,-73.95
10021,MANHATTAN,NY,40.77,-73.95
10021,NYC,NY,40.77,-73.95
10022,NEW YORK,NY,40.71,-73.99
10022,FRANKLIN D ROOSEVELT,NY,40.71,-73.99
10022,MANHATTAN,NY,40.71,-73.99
10022,NYC,NY,40.71,-73.99
10023,NEW YORK,NY,40.71,-73.99
10023,MANHATTAN,NY,40.71,-73.99
10023,NYC,NY,40.71,-73.99
10024,NEW YORK,NY,40.71,-73.99
10024,MANHATTAN,NY,40.71,-73.99
10024,NYC,NY,40.71,-73.99
10024,PLANETARIUM,NY,40.71,-73.99
10025,NEW YORK,NY,40.71,-73.99
10025,MANHATTAN,NY,40.71,-73.99
10025,NYC,NY,40.71,-73.99
10026,NEW YORK,NY,40.71,-73.99
10026,MORNINGSIDE,NY,40.71,-73.99
10026,NYC,NY,40.71,-73.99
10027,NEW YORK,NY,40.71,-73.99
10027,MANHATTAN,NY,40.71,-73.99
10027,MANHATTANVILLE,NY,40.71,-73.99
10027,NY CITY,NY,40.71,-73.99
10027,NYC,NY,40.71,-73.99
10028,NEW YORK,NY,40.71,-73.99
10028,MANHATTAN,NY,40.71,-73.99
10028,NYC,NY,40.71,-73.99
10029,NEW YORK,NY,40.71,-73.99
10029,MANHATTAN,NY,40.71,-73.99
